0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
-0.040	-0.040	-0.040	-0.040	-0.040	-0.040	-0.040	0	0	0	-1.000	-0.040	-0.040	-0.040	-0.040	-1.000	-0.040	1.000	-0.040	-0.040	-1.000	-0.040	1.000	-0.040	-0.040	-1.000	-0.040	1.000	0	-1.000	1.000	0	1.000	-0.040	-0.040	1.000	
-0.080	-0.080	-0.080	-0.080	-0.080	-0.080	-0.080	0	0	0	-1.040	0.649	-0.080	-0.080	-0.175	-1.040	0.752	1.784	-0.080	-0.175	-1.040	0.752	1.784	0.847	0.649	-1.040	0.752	1.784	0	-0.406	1.990	0	1.887	0.847	0.744	1.887	
-0.119	-0.119	-0.119	-0.119	-0.119	0.458	-0.119	0	0	0	-0.419	1.334	-0.119	-0.128	-0.223	-0.347	1.447	2.561	0.449	-0.214	-0.347	1.447	2.571	1.633	1.497	-0.525	1.528	2.571	0	0.414	2.970	0	2.765	1.715	1.602	2.755	
-0.158	-0.158	-0.158	-0.158	0.270	1.050	-0.158	0	0	0	0.236	2.079	0.291	-0.168	-0.198	0.267	2.216	3.322	1.169	0.251	0.332	2.217	3.341	2.405	2.409	0.137	2.353	3.349	0	1.264	3.940	0	3.634	2.574	2.459	3.613	
-0.196	-0.196	-0.196	0.142	0.842	1.737	0.159	0	0	0	0.984	2.820	0.898	0.199	0.233	1.001	2.962	4.075	2.008	0.883	1.108	2.976	4.104	3.160	3.333	0.946	3.183	4.127	0	2.112	4.901	0	4.492	3.424	3.309	4.463	
0.047	-0.234	0.034	0.655	1.517	2.449	0.703	0	0	0	1.722	3.564	1.659	0.778	0.956	1.739	3.713	4.820	2.886	1.664	1.903	3.745	4.858	3.907	4.265	1.821	4.020	4.902	0	2.953	5.852	0	5.342	4.266	4.150	5.304	
0.498	-0.049	0.486	1.291	2.220	3.175	1.413	0	0	0	2.464	4.300	2.487	1.537	1.716	2.483	4.457	5.557	3.788	2.503	2.719	4.512	5.605	4.645	5.197	2.723	4.856	5.676	0	3.785	6.793	0	6.182	5.098	4.982	6.137	
1.124	0.345	1.079	1.974	2.939	3.900	2.209	0	0	0	3.199	5.031	3.359	2.358	2.512	3.222	5.195	6.286	4.699	3.382	3.541	5.279	6.346	5.376	6.125	3.634	5.687	6.447	0	4.610	7.726	0	7.013	5.923	5.807	6.961	
1.855	0.918	1.737	2.678	3.657	4.621	3.058	0	0	0	3.929	5.754	4.248	3.220	3.317	3.956	5.927	7.009	5.611	4.275	4.362	6.044	7.081	6.099	7.045	4.545	6.512	7.215	0	5.426	8.648	0	7.835	6.739	6.623	7.777	
2.656	1.611	2.425	3.386	4.371	5.336	3.930	0	0	0	4.653	6.470	5.143	4.095	4.125	4.702	6.653	7.725	6.518	5.172	5.179	6.807	7.810	6.816	7.957	5.453	7.329	7.980	0	6.234	9.562	0	8.648	7.546	7.431	8.585	
3.495	2.383	3.122	4.092	5.080	6.045	4.811	0	0	0	5.371	7.179	6.037	4.974	4.933	5.458	7.376	8.433	7.419	6.067	5.991	7.566	8.534	7.527	8.860	6.354	8.139	8.741	0	7.034	10.466	0	9.452	8.346	8.231	9.385	
4.352	3.200	3.819	4.793	5.782	6.747	5.694	0	0	0	6.084	7.881	6.926	5.851	5.737	6.211	8.094	9.135	8.313	6.957	6.796	8.321	9.253	8.250	9.755	7.247	8.941	9.498	0	7.826	11.362	0	10.248	9.138	9.023	10.177	
